title,url,price,cash_back,points,total,indicator
Geeon Daylight White LED Light Strips Waterproof 2M SMD 2835 Dimmable Extendable with 12V Power Adapter for Room Bed Mirror Kitchen Cabinet Wardrobe,https://www.cashbackbase.com/offer/geeon-daylight-white-led-light-strips-waterproof-2m-smd-2835-dimmable-extendable-with-12v-power-adapter-for-room-bed-mirror-kitchen-cabinet-wardrobe/10125,15.99,14.5,290.0,1.4900000000000002,432.1000000000001
"ShioSel, Cat Scratcher Cardboards Scratching Pads, Catnip Included",https://www.cashbackbase.com/offer/ShioSel-Scratcher-Cardboards-Scratch-Included/10367,23.99,23.0,460.0,0.9899999999999984,455.3999999999993
"Lightning iPhone Charger Cable Apple - MFI - Certified Made for iPhone 8/8 Plus/X/XS/XS Max/XR/7/7 Plus/SE/6/6 Plus/6S/6S Plus/5/5C/5S, iPad/iPad Mini/iPad Air, iPod Touch/Nano(6 FT Black)",https://www.cashbackbase.com/offer/Lightning-iPhone-Charger-Cable-Apple/4496,6.75,5.98,598.0,0.7699999999999996,460.45999999999975
"Lightning iPhone Charger Cable Apple - MFI - Certified Made for iPhone 8/8 Plus/X/XS/XS Max/XR/7/7 Plus/SE/6/6 Plus/6S/6S Plus/5/5C/5S, iPad/iPad Mini/iPad Air, iPod Touch/Nano(6 FT Black)",https://www.cashbackbase.com/offer/Lightning-iPhone-Charger-Cable-Apple/4475,6.75,5.98,598.0,0.7699999999999996,460.45999999999975
5pc Pilates Flexbands + 1pc Yoga Strap with 5 Resistance Levels Exercise Sport Loop Booty Band for Muscle Leg Arm Glute Home Gym Workout Fitness Stretching Strength Training Physical Therapy,https://www.cashbackbase.com/offer/Flexbands-Resistance-Exercise-Stretching-Strength/10065,15.99,14.39,288.0,1.5999999999999996,460.7999999999999
boildeg Cycling Gloves Mountain Bike Gloves MTB Gloves Bicycle Dirt Bike Gloves for Men Women Full Finger Touch Screen Biking Gloves Anti-Slip Shock-Absorbing Gel Pad Workout Gloves,https://www.cashbackbase.com/offer/boildeg-cycling-gloves-mountain-bike-gloves-mtb-gloves-bicycle-dirt-bike-gloves-for-men-women-full-finger-touch-screen-biking-gloves-anti-slip-shock-absorbing-gel-pad-workout-gloves/10500,15.99,14.39,288.0,1.5999999999999996,460.7999999999999
A4 LED Light Pad Light Board for Diamond Painting - Ultra-Thin Magnetic Tracing Light Box with USB Powered for Artists Drawing Weeding Vinyl DIY Diamond Painting Sketching Tattoo Animation Designing,https://www.cashbackbase.com/offer/LED-Light-Box-Tracing-Pad/10340,15.99,14.39,288.0,1.5999999999999996,460.7999999999999
Coching Cat Scratcher Cardboard Scratch Pad with Unique Two Different Scratch Textures Design Durable Scratching Pad Reversible,https://www.cashbackbase.com/offer/COCHING-Scratcher-Cardboard-Scratching-Reversible/8825,9.99,9.49,949.0,0.5,474.5
"Mangotek USB C to Lightning Cable, [3.3ft Apple MFi Certified] PD Power Delivery Fast Charging Lightning Cable for iPhone 11/11 Pro/11 Pro Max/X/XS/XR/XS/8/8 Plus (for Use with Type C Chargers) Black",https://www.cashbackbase.com/offer/Mangotek-Lightning-Certified-Delivery-Charging/7958,13.99,12.0,240.0,1.9900000000000002,477.6
"ELVASEN Piggy Bank for Kids, Creative Fingerprint Password Electronic Piggy Bank Cartoon ATM Cash Coin Money Bank Birthday Gift Toy for Children (Unicorn)",https://www.cashbackbase.com/offer/ELVASEN-Creative-Fingerprint-Password-Electronic/10134,22.99,21.88,438.0,1.1099999999999994,486.1799999999997
